título: placa quadrados quadrático
coordenadas dos nós
285
224	    78.13	    1200.00
225	    390.63	    1200.00
226	    546.88	    1200.00
227	    638.29	    134.67
228	    672.23	    234.95
229	    750.00	    299.98
230	    825.20	    239.63
231	    863.75	    124.42
232	    872.27	    62.47
233	    848.88	    183.52
234	    795.07	    279.89
235	    628.22	    67.67
236	    651.92	    185.95
237	    703.03	    278.01
238	    861.71	    1065.33
239	    827.77	    965.05
240	    750.00	    900.02
241	    674.80	    960.37
242	    636.25	    1075.58
243	    871.78	    1132.33
244	    848.08	    1014.05
245	    627.73	    1137.53
246	    651.12	    1016.48
247	    704.93	    920.11
248	    796.97	    921.99
249	    1031.25	    0.00
250	    1187.50	    0.00
251	    1343.75	    0.00
252	    1265.63	    0.00
253	    1421.88	    0.00
254	    1109.38	    0.00
255	    953.13	    0.00
256	    1343.75	    1200.00
257	    1187.50	    1200.00
258	    1031.25	    1200.00
259	    1265.63	    1200.00
260	    1421.88	    1200.00
261	    1109.38	    1200.00
262	    953.13	    1200.00
263	    1500.00	    150.00
264	    1500.00	    300.00
265	    1500.00	    450.00
266	    1500.00	    600.00
267	    1500.00	    750.00
268	    1500.00	    900.00
269	    1500.00	    1050.00
270	    1500.00	    225.00
271	    1500.00	    75.00
272	    1500.00	    525.00
273	    1500.00	    375.00
274	    1500.00	    825.00
275	    1500.00	    675.00
276	    1500.00	    1125.00
277	    1500.00	    975.00
278	    0.00	    1200.00
279	    0.00	    0.00
280	    625.00	    0.00
281	    625.00	    1200.00
282	    875.00	    0.00
283	    875.00	    1200.00
284	    1500.00	    0.00
285	    1500.00	    1200.00
matriz de incidências/conectividades
80
 1      1     8     12      11       9      10      60      61     62      63
 2      1     8     12      10     250     251      63      64    252      65
 3      1     8    263     264      11      12     270      66     60      67
 4      1     8    263      12     251     284      67      65    253     271
 5      1     8     13       4       5       8      68      69     70      71
 6      1     8     13       8       9      11      71      72     61      73
 7      1     8    265     266       4      13     272      74     68      75
 8      1     8    265      13      11     264      75      73     66     273
 9      1     8     15       8       5       6      76      70     77      78
10      1     8      7       1       2      14      79      80     81      82
11      1     8      7      14      15       6      82      83     78      84
12      1     8     17     249     250      10      85     254     64      86
13      1     8      9       8      15      16      72      76     87      88
14      1     8      9      16      17      10      88      89     86      62
15      1     8    231     282     249      17     232     255     85      90
16      1     8     19     230     231      17      91     233     90      92
17      1     8     19      17      16      18      92      89     93      94
18      1     8     18      16      15      14      93      87     83      95
19      1     8      2     229     230      19      96     234     91      97
20      1     8      2      19      18      14      97      94     95      81
21      1     8     24      23      21      22      98      99    100     101
22      1     8     24      22       5       4     101     102     69     103
23      1     8    267     268      23      24     274     104     98     105
24      1     8    267      24       4     266     105     103     74     275
25      1     8     25     256     257      20     106     259    107     108
26      1     8     25      20      21      23     108     109     99     110
